#SNPs	Mean_Squared_Error	Log_Likelihood
1	4.2302334437048872E-001	9.6674296325677318E+000
100	1.9085642220313637E-001	1.8344277607128156E+001
200	1.8925251337776089E-001	1.8319265531076631E+001
300	1.7463567728362403E-001	1.8991155196517447E+001
400	1.8516940846586324E-001	1.8524308579113335E+001
500	1.8574007080459956E-001	1.8450157488481583E+001
600	1.9480316357190355E-001	1.8048204372247415E+001
700	1.9851765906723692E-001	1.7687286074070876E+001
800	2.0064958061827784E-001	1.7646895311648468E+001
900	2.0474320153401174E-001	1.7362854411584909E+001
1000	2.0332799001229604E-001	1.7385407019156148E+001
2000	1.9720786039430604E-001	1.7874612449030433E+001
3000	2.0064684750960149E-001	1.7662097977464033E+001
4000	2.0135279077176294E-001	1.7782758359426321E+001
5000	2.0527309483554620E-001	1.7513597661134519E+001
6000	2.0623537642937073E-001	1.7424798438494214E+001
7000	2.0439431536137942E-001	1.7524495664703732E+001
