SNP	Chromosome	GeneticDistance	Position	Pvalue	Qvalue	N	NullLogLike	AltLogLike	SnpWeight	SnpWeightSE	OddsRatio	WaldStat	NullBias	NullCov00Weight	NullCov01Weight	NullCov02Weight	NullCov03Weight	NullCov04Weight	NullVar
cg07080358	2	68546507.000000	68546507	1.497E-054	1.175E-050	204	1.243E+001	1.355E+002	2.903E-001	1.328E-002	1.768E+000	4.775E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg22029275	13	25745784.000000	25745784	4.908E-051	1.926E-047	204	1.243E+001	1.272E+002	2.867E-001	1.392E-002	1.754E+000	4.244E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg15202954	13	102068996.000000	102068996	2.345E-050	6.134E-047	204	1.243E+001	1.256E+002	2.729E-001	1.340E-002	1.728E+000	4.147E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg14832904	2	54087028.000000	54087028	6.535E-049	1.282E-045	204	1.243E+001	1.222E+002	2.634E-001	1.326E-002	1.724E+000	3.944E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg01988129	8	67344936.000000	67344936	5.386E-047	8.454E-044	204	1.243E+001	1.177E+002	2.662E-001	1.386E-002	1.652E+000	3.686E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg08090772	8	67344640.000000	67344640	1.363E-046	1.783E-043	204	1.243E+001	1.167E+002	2.668E-001	1.400E-002	1.565E+000	3.633E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg17525406	1	4715520.000000	4715520	1.638E-042	1.837E-039	204	1.243E+001	1.072E+002	2.471E-001	1.398E-002	1.806E+000	3.124E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg12741420	6	392131.000000	392131	4.537E-042	4.451E-039	204	1.243E+001	1.061E+002	2.512E-001	1.433E-002	1.608E+000	3.072E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg04456238	11	32450104.000000	32450104	1.553E-039	1.354E-036	204	1.243E+001	1.002E+002	2.452E-001	1.470E-002	1.624E+000	2.783E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg13168820	20	41818356.000000	41818356	4.755E-039	3.216E-036	204	1.243E+001	9.906E+001	2.401E-001	1.453E-002	1.592E+000	2.730E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg11657808	1	237205950.000000	237205950	4.836E-039	3.216E-036	204	1.243E+001	9.904E+001	2.383E-001	1.442E-002	1.536E+000	2.729E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg21359747	15	101420636.000000	101420636	5.275E-039	3.216E-036	204	1.243E+001	9.895E+001	2.454E-001	1.487E-002	1.541E+000	2.725E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg01009664	3	129693613.000000	129693613	5.328E-039	3.216E-036	204	1.243E+001	9.894E+001	2.512E-001	1.522E-002	1.837E+000	2.724E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg20415809	2	182321855.000000	182321855	1.200E-038	6.727E-036	204	1.243E+001	9.812E+001	2.308E-001	1.408E-002	1.528E+000	2.686E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg24687051	6	73332073.000000	73332073	2.665E-038	1.395E-035	204	1.243E+001	9.730E+001	2.357E-001	1.448E-002	1.559E+000	2.648E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg18349835	7	158937107.000000	158937107	3.620E-038	1.776E-035	204	1.243E+001	9.699E+001	2.432E-001	1.499E-002	1.521E+000	2.634E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg12880658	5	115152386.000000	115152386	3.381E-036	1.561E-033	204	1.243E+001	9.239E+001	2.295E-001	1.473E-002	1.569E+000	2.428E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg07903918	9	101471986.000000	101471986	4.948E-036	2.157E-033	204	1.243E+001	9.200E+001	2.284E-001	1.471E-002	1.629E+000	2.411E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg05345286	6	41606641.000000	41606641	7.810E-036	3.226E-033	204	1.243E+001	9.154E+001	2.271E-001	1.469E-002	1.466E+000	2.391E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg23002761	1	16085642.000000	16085642	8.692E-036	3.411E-033	204	1.243E+001	9.143E+001	2.368E-001	1.533E-002	1.679E+000	2.386E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg24176563	6	133562776.000000	133562776	1.313E-035	4.908E-033	204	1.243E+001	9.101E+001	2.241E-001	1.457E-002	1.546E+000	2.368E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg17872757	11	128564180.000000	128564180	1.623E-035	5.790E-033	204	1.243E+001	9.079E+001	2.210E-001	1.439E-002	1.396E+000	2.358E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg24068372	7	151107261.000000	151107261	2.176E-035	7.426E-033	204	1.243E+001	9.050E+001	2.251E-001	1.470E-002	1.464E+000	2.346E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg18239753	6	62995963.000000	62995963	3.302E-035	1.080E-032	204	1.243E+001	9.007E+001	2.239E-001	1.468E-002	1.492E+000	2.327E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg19343464	11	105481509.000000	105481509	9.040E-035	2.838E-032	204	1.243E+001	8.905E+001	2.262E-001	1.497E-002	1.537E+000	2.284E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg16787600	10	106400880.000000	106400880	1.193E-034	3.600E-032	204	1.243E+001	8.877E+001	2.276E-001	1.510E-002	1.738E+000	2.272E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg24840099	4	4864430.000000	4864430	1.459E-034	4.241E-032	204	1.243E+001	8.857E+001	2.333E-001	1.551E-002	1.671E+000	2.263E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
cg03958979	6	108486387.000000	108486387	2.179E-034	6.108E-032	204	1.243E+001	8.816E+001	2.300E-001	1.535E-002	1.679E+000	2.246E+002	8.186E-001	1.962E-004	3.047E-002	6.461E-001	6.566E-001	1.151E-001	5.183E-002
