SNP	Chromosome	GeneticDistance	Position	Phenotype	Pvalue	Qvalue	N	NumSNPsExcluded	IndexExclusionStart	DOF	NullLogLike	AltLogLike	SNPWeight	SNPWeightSE	OddsRatio	WaldStat	NullLogDelta	NullGeneticVar	NullResidualVar	NullBias	NullCov01Weight	NullCov02Weight	NullCov03Weight	NullCov04Weight	NullCov05Weight	NullCov06Weight	LogDelta	GeneticVar	ResidualVar	Bias	Cov01Weight	Cov02Weight	Cov03Weight	Cov04Weight	Cov05Weight	Cov06Weight	SNPIndex	SNPCount
cg20774846	8	105479420.000000	105479420	Phenotype_001	5.282E-006	4.145E-002	204	0	50	1	1.777E+002	1.842E+002	3.905E-002	8.339E-003	1.081E+000	2.193E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.097E+000	1.398E-002	4.668E-003	8.186E-001	-1.096E-003	8.256E-003	1.383E-001	1.099E-001	5.775E-002	-8.449E-003	3166	7848
cg22325823	17	72667062.000000	72667062	Phenotype_001	5.487E-005	1.121E-001	204	0	81	1	1.777E+002	1.818E+002	2.786E-002	6.755E-003	1.070E+000	1.701E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.117E+000	1.452E-002	4.753E-003	8.186E-001	-8.797E-004	9.132E-003	1.297E-001	1.136E-001	4.628E-002	-1.259E-002	5895	7848
cg13372488	1	196577387.000000	196577387	Phenotype_001	5.491E-005	1.121E-001	204	0	2	1	1.777E+002	1.819E+002	3.056E-002	7.409E-003	1.072E+000	1.701E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.099E+000	1.433E-002	4.773E-003	8.186E-001	-1.062E-003	7.508E-003	1.484E-001	1.312E-001	4.650E-002	-1.745E-002	602	7848
cg07221454	11	60552841.000000	60552841	Phenotype_001	5.713E-005	1.121E-001	204	0	58	1	1.777E+002	1.821E+002	4.085E-002	9.928E-003	1.103E+000	1.693E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-9.352E-001	1.265E-002	4.965E-003	8.186E-001	-1.265E-003	9.535E-003	1.307E-001	1.120E-001	5.646E-002	-1.251E-002	4024	7848
cg08090772	8	67344640.000000	67344640	Phenotype_001	9.720E-005	1.121E-001	204	2	47	1	1.754E+002	1.798E+002	7.239E-002	1.819E-002	1.129E+000	1.584E+001	-1.022E+000	1.500E-002	5.400E-003	8.186E-001	6.352E-003	1.327E-001	1.130E-001	5.023E-002	-2.648E-002	8.186E-001	-8.105E-001	1.187E-002	5.277E-003	8.186E-001	-9.130E-004	4.615E-003	1.236E-001	1.071E-001	5.488E-002	-1.313E-002	3105	7848
cg17412258	14	101193017.000000	101193017	Phenotype_001	1.268E-004	1.121E-001	204	0	70	1	1.777E+002	1.816E+002	-4.690E-002	1.199E-002	1.103E+000	1.529E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-9.916E-001	1.331E-002	4.936E-003	8.186E-001	-6.396E-004	1.120E-002	1.346E-001	1.173E-001	4.936E-002	-3.503E-002	5032	7848
cg26368842	10	23004020.000000	23004020	Phenotype_001	1.308E-004	1.121E-001	204	0	53	1	1.777E+002	1.811E+002	3.055E-002	7.827E-003	1.067E+000	1.523E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-9.580E-001	1.297E-002	4.978E-003	8.186E-001	-9.472E-004	1.201E-002	1.333E-001	1.233E-001	4.597E-002	-8.228E-003	3511	7848
cg05508084	19	56988398.000000	56988398	Phenotype_001	1.394E-004	1.121E-001	204	0	89	1	1.777E+002	1.814E+002	-4.554E-002	1.172E-002	1.150E+000	1.510E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-9.522E-001	1.292E-002	4.988E-003	8.186E-001	-9.867E-004	7.195E-003	1.288E-001	1.142E-001	4.969E-002	-2.060E-002	6604	7848
cg09305224	9	139927245.000000	139927245	Phenotype_001	1.551E-004	1.121E-001	204	1	52	1	1.738E+002	1.771E+002	-3.479E-002	9.019E-003	1.107E+000	1.488E+001	-1.022E+000	1.528E-002	5.498E-003	8.186E-001	3.704E-003	1.310E-001	1.124E-001	5.212E-002	-2.498E-002	8.186E-001	-8.709E-001	1.271E-002	5.320E-003	8.186E-001	-9.849E-004	7.606E-003	1.286E-001	1.104E-001	5.253E-002	-2.029E-002	3464	7848
cg23960723	10	11783974.000000	11783974	Phenotype_001	1.654E-004	1.121E-001	204	0	53	1	1.777E+002	1.808E+002	2.659E-002	6.923E-003	1.056E+000	1.475E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.047E+000	1.391E-002	4.885E-003	8.186E-001	-1.152E-003	5.976E-003	1.453E-001	1.197E-001	5.100E-002	-2.622E-002	3493	7848
cg02214188	4	104020949.000000	104020949	Phenotype_001	1.736E-004	1.121E-001	204	0	21	1	1.777E+002	1.808E+002	3.010E-002	7.862E-003	1.055E+000	1.465E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.095E+000	1.444E-002	4.832E-003	8.186E-001	-1.040E-003	3.811E-003	1.360E-001	1.122E-001	3.751E-002	-1.710E-002	1784	7848
cg08097657	3	50313996.000000	50313996	Phenotype_001	1.771E-004	1.121E-001	204	0	12	1	1.777E+002	1.811E+002	-3.799E-002	9.937E-003	1.097E+000	1.461E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.060E+000	1.406E-002	4.873E-003	8.186E-001	-8.592E-004	1.974E-003	1.160E-001	1.039E-001	4.780E-002	-1.300E-002	1328	7848
cg18286698	9	74763873.000000	74763873	Phenotype_001	1.952E-004	1.121E-001	204	0	50	1	1.777E+002	1.804E+002	-2.425E-002	6.386E-003	1.093E+000	1.442E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.186E+000	1.549E-002	4.734E-003	8.186E-001	-9.164E-004	6.762E-003	1.246E-001	1.015E-001	5.307E-002	-1.527E-002	3302	7848
cg03138091	5	38846540.000000	38846540	Phenotype_001	2.079E-004	1.121E-001	204	0	23	1	1.777E+002	1.810E+002	-3.948E-002	1.044E-002	1.100E+000	1.429E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.062E+000	1.410E-002	4.878E-003	8.186E-001	-9.883E-004	4.244E-005	1.232E-001	1.049E-001	4.671E-002	-2.227E-002	1921	7848
cg14419187	2	210637094.000000	210637094	Phenotype_001	2.205E-004	1.121E-001	204	0	12	1	1.777E+002	1.810E+002	-4.481E-002	1.190E-002	1.120E+000	1.417E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.008E+000	1.355E-002	4.943E-003	8.186E-001	-5.998E-004	6.996E-003	1.348E-001	1.092E-001	4.879E-002	-1.758E-002	1112	7848
cg22764925	22	24979964.000000	24979964	Phenotype_001	2.286E-004	1.121E-001	204	0	97	1	1.777E+002	1.809E+002	4.108E-002	1.094E-002	1.117E+000	1.410E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.052E+000	1.402E-002	4.893E-003	8.186E-001	-9.582E-004	-3.349E-003	1.262E-001	1.047E-001	4.343E-002	-1.768E-002	7083	7848
cg05073035	3	147127193.000000	147127193	Phenotype_001	2.839E-004	1.310E-001	204	0	15	1	1.777E+002	1.811E+002	-5.959E-002	1.612E-002	1.154E+000	1.366E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.084E+000	1.439E-002	4.867E-003	8.186E-001	-8.450E-004	3.115E-003	1.327E-001	1.106E-001	4.618E-002	-2.172E-002	1491	7848
cg02757432	10	125426048.000000	125426048	Phenotype_001	3.106E-004	1.321E-001	204	0	55	1	1.777E+002	1.810E+002	-6.163E-002	1.678E-002	1.227E+000	1.348E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.145E+000	1.509E-002	4.801E-003	8.186E-001	-9.296E-004	4.652E-003	1.259E-001	1.103E-001	4.655E-002	-1.256E-002	3713	7848
cg14519350	22	30661949.000000	30661949	Phenotype_001	3.246E-004	1.321E-001	204	0	97	1	1.777E+002	1.807E+002	-4.500E-002	1.230E-002	1.112E+000	1.339E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.058E+000	1.412E-002	4.903E-003	8.186E-001	-1.145E-003	-1.330E-003	1.273E-001	1.062E-001	4.370E-002	-1.427E-002	7100	7848
cg17296078	10	99259721.000000	99259721	Phenotype_001	3.420E-004	1.321E-001	204	0	54	1	1.777E+002	1.803E+002	3.218E-002	8.828E-003	1.082E+000	1.329E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.063E+000	1.418E-002	4.900E-003	8.186E-001	-1.207E-003	5.418E-003	1.400E-001	1.231E-001	4.820E-002	-8.224E-003	3633	7848
cg10994379	5	35939420.000000	35939420	Phenotype_001	3.609E-004	1.321E-001	204	0	23	1	1.777E+002	1.802E+002	3.050E-002	8.402E-003	1.068E+000	1.318E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-9.816E-001	1.334E-002	4.998E-003	8.186E-001	-6.651E-004	1.312E-002	1.325E-001	1.084E-001	4.756E-002	-2.070E-002	1912	7848
cg17084151	8	102803237.000000	102803237	Phenotype_001	3.703E-004	1.321E-001	204	0	50	1	1.777E+002	1.801E+002	2.804E-002	7.739E-003	1.069E+000	1.313E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-9.323E-001	1.285E-002	5.058E-003	8.186E-001	-9.392E-004	1.357E-002	1.342E-001	1.081E-001	4.918E-002	-2.553E-002	3161	7848
cg09811393	3	50313213.000000	50313213	Phenotype_001	4.076E-004	1.353E-001	204	0	12	1	1.777E+002	1.805E+002	-4.364E-002	1.213E-002	1.128E+000	1.294E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.054E+000	1.411E-002	4.918E-003	8.186E-001	-1.066E-003	-4.113E-003	1.183E-001	1.022E-001	4.687E-002	-1.405E-002	1327	7848
cg00554702	11	125496645.000000	125496645	Phenotype_001	4.175E-004	1.353E-001	204	0	60	1	1.777E+002	1.799E+002	2.564E-002	7.142E-003	1.055E+000	1.289E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.066E+000	1.424E-002	4.906E-003	8.186E-001	-7.672E-004	1.049E-002	1.317E-001	1.119E-001	4.427E-002	-1.671E-002	4270	7848
cg13354523	12	10251574.000000	10251574	Phenotype_001	4.311E-004	1.353E-001	204	0	61	1	1.777E+002	1.799E+002	2.578E-002	7.197E-003	1.058E+000	1.283E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.037E+000	1.394E-002	4.941E-003	8.186E-001	-1.172E-003	1.049E-003	1.258E-001	1.057E-001	5.031E-002	-3.205E-002	4368	7848
cg02679745	9	139927646.000000	139927646	Phenotype_001	5.027E-004	1.517E-001	204	1	52	1	1.738E+002	1.762E+002	-3.612E-002	1.021E-002	1.115E+000	1.252E+001	-1.022E+000	1.528E-002	5.498E-003	8.186E-001	3.704E-003	1.310E-001	1.124E-001	5.212E-002	-2.498E-002	8.186E-001	-1.065E+000	1.492E-002	5.142E-003	8.186E-001	-1.191E-003	7.754E-003	1.252E-001	1.034E-001	5.546E-002	-1.054E-002	3465	7848
cg14849423	19	57351791.000000	57351791	Phenotype_001	5.422E-004	1.576E-001	204	0	89	1	1.777E+002	1.803E+002	-4.951E-002	1.408E-002	1.139E+000	1.237E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.085E+000	1.448E-002	4.896E-003	8.186E-001	-7.956E-004	1.159E-002	1.234E-001	1.077E-001	5.098E-002	-9.503E-003	6616	7848
cg14614901	9	32783463.000000	32783463	Phenotype_001	6.632E-004	1.859E-001	204	0	50	1	1.777E+002	1.800E+002	-3.976E-002	1.149E-002	1.092E+000	1.197E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.058E+000	1.422E-002	4.937E-003	8.186E-001	-7.665E-004	-1.041E-003	1.222E-001	1.081E-001	5.349E-002	-2.406E-002	3275	7848
cg19884262	10	129535968.000000	129535968	Phenotype_001	7.092E-004	1.869E-001	204	0	55	1	1.777E+002	1.803E+002	-7.294E-002	2.120E-002	1.174E+000	1.184E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.220E+000	1.611E-002	4.754E-003	8.186E-001	-9.780E-004	4.725E-003	1.252E-001	1.037E-001	5.090E-002	-8.206E-003	3727	7848
cg14008883	10	50818911.000000	50818911	Phenotype_001	7.143E-004	1.869E-001	204	0	53	1	1.777E+002	1.802E+002	-6.019E-002	1.750E-002	1.167E+000	1.182E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.178E+000	1.559E-002	4.802E-003	8.186E-001	-8.210E-004	-1.890E-004	1.195E-001	1.102E-001	4.478E-002	-9.759E-003	3551	7848
cg08109815	6	142409831.000000	142409831	Phenotype_001	7.484E-004	1.895E-001	204	0	38	1	1.777E+002	1.802E+002	-5.602E-002	1.636E-002	1.202E+000	1.173E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.076E+000	1.444E-002	4.921E-003	8.186E-001	-9.178E-004	2.976E-003	1.248E-001	1.140E-001	5.545E-002	-1.507E-002	2535	7848
cg19591881	1	208084640.000000	208084640	Phenotype_001	7.873E-004	1.931E-001	204	0	2	1	1.777E+002	1.797E+002	3.638E-002	1.067E-002	1.081E+000	1.163E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.060E+000	1.426E-002	4.943E-003	8.186E-001	-1.078E-003	5.281E-003	1.276E-001	1.082E-001	5.164E-002	-1.842E-002	674	7848
cg07080358	2	68546507.000000	68546507	Phenotype_001	9.161E-004	2.144E-001	204	1	6	1	1.769E+002	1.797E+002	9.211E-002	2.736E-002	1.198E+000	1.133E+001	-1.022E+000	1.473E-002	5.300E-003	8.186E-001	5.270E-003	1.301E-001	1.122E-001	5.280E-002	-1.990E-002	8.186E-001	-8.609E-001	1.237E-002	5.231E-003	8.186E-001	-1.138E-003	1.123E-002	1.195E-001	1.008E-001	4.721E-002	-2.129E-002	862	7848
cg24199834	4	147560126.000000	147560126	Phenotype_001	9.291E-004	2.144E-001	204	0	23	1	1.777E+002	1.800E+002	-6.588E-002	1.959E-002	1.197E+000	1.131E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.199E+000	1.589E-002	4.790E-003	8.186E-001	-8.048E-004	1.129E-002	1.289E-001	1.120E-001	5.030E-002	-9.576E-003	1822	7848
cg02828104	20	48770800.000000	48770800	Phenotype_001	9.854E-004	2.200E-001	204	0	94	1	1.777E+002	1.792E+002	2.497E-002	7.465E-003	1.070E+000	1.119E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-9.981E-001	1.364E-002	5.026E-003	8.186E-001	-1.095E-003	1.209E-002	1.288E-001	1.088E-001	5.447E-002	-2.563E-002	6839	7848
cg18219951	5	161494810.000000	161494810	Phenotype_001	1.009E-003	2.200E-001	204	0	28	1	1.777E+002	1.792E+002	2.780E-002	8.329E-003	1.074E+000	1.114E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.159E+000	1.542E-002	4.840E-003	8.186E-001	-1.236E-003	9.454E-003	1.298E-001	1.145E-001	5.114E-002	-1.170E-002	2157	7848
cg21176048	3	179755235.000000	179755235	Phenotype_001	1.044E-003	2.213E-001	204	0	15	1	1.777E+002	1.797E+002	-5.060E-002	1.520E-002	1.117E+000	1.108E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-1.196E+000	1.586E-002	4.799E-003	8.186E-001	-8.451E-004	9.535E-003	1.188E-001	1.067E-001	5.227E-002	-1.190E-002	1541	7848
cg26416466	15	66546708.000000	66546708	Phenotype_001	1.110E-003	2.292E-001	204	0	70	1	1.777E+002	1.792E+002	2.811E-002	8.493E-003	1.048E+000	1.096E+001	-1.022E+000	1.461E-002	5.256E-003	8.186E-001	6.222E-003	1.282E-001	1.102E-001	5.180E-002	-1.951E-002	8.186E-001	-9.675E-001	1.334E-002	5.069E-003	8.186E-001	-6.812E-004	1.284E-002	1.323E-001	1.138E-001	5.058E-002	-1.402E-002	5178	7848
